id_establecimiento,financiamiento,tiene_terapia,id_departamento,id_provincia
50901052196531,estatal,False,105,90
50060282201663,estatal,False,28,6
50900982196506,estatal,False,98,90
50221402326695,privado,False,140,22
50900982196497,estatal,False,98,90
10820842388663,privado,False,84,82
50340142147124,estatal,False,14,34
50340492147103,estatal,False,49,34
50340492147115,estatal,False,49,34
50340492147109,estatal,False,49,34
50340212147107,estatal,False,21,34
50340212147108,estatal,False,21,34
50340212147122,estatal,False,21,34
50340212147094,estatal,False,21,34
10660072373019,privado,False,7,66
50300152342403,privado,False,15,30
50300152342411,privado,False,15,30
10300152142040,estatal,False,15,30
51300152342525,privado,False,15,30
10300152342087,privado,True,15,30
51300152342547,privado,False,15,30
51300152342552,privado,False,15,30
51300152342553,privado,False,15,30
51300152342562,privado,False,15,30
51300152342565,privado,False,15,30
51300152342572,privado,False,15,30
50460982155179,estatal,False,98,46
50140422231413,estatal,False,42,14
50140422231402,estatal,False,42,14
50140422231401,estatal,False,42,14
50140422231579,estatal,False,42,14
50140422231382,estatal,False,42,14
50140422231380,estatal,False,42,14
50140422231379,estatal,False,42,14
50141052231453,estatal,False,105,14
53660562373582,privado,False,56,66
53501052360862,privado,False,105,50
52060912303635,privado,False,91,6
50067602303637,privado,False,760,6
52060912303685,privado,False,91,6
50420212353552,privado,False,21,42
50060582303691,privado,False,658,6
50067602703693,privado,False,760,6
50861892192350,estatal,False,189,86
50861682192143,estatal,False,168,86
50861192192354,estatal,False,119,86
50860142192231,estatal,False,105,86
50861752192249,estatal,False,175,86
50420212353580,privado,False,21,42
50060912303735,privado,False,91,6
50701192177087,estatal,False,119,70
50701052177104,estatal,False,105,70
50701052177097,estatal,False,105,70
50701192177188,estatal,False,119,70
50700562177168,estatal,False,56,70
50661542173110,estatal,False,154,66
50500702157376,estatal,False,70,50
10500562157027,estatal,False,56,50
10500492157028,estatal,False,49,50
10501192157034,estatal,True,119,50
10501122157035,estatal,False,112,50
50380352150098,estatal,False,35,38
51900842396675,privado,False,84,90
51900842396577,privado,False,84,90
50380492150223,estatal,False,49,38
10380632150022,estatal,False,63,38
50380772150115,estatal,False,77,38
50380772150059,estatal,False,77,38
50661612173462,estatal,False,161,66
51300842342519,privado,False,84,30
10300842342001,privado,False,84,30
