,establecimiento_id,provincia_id,provincia_nombre,departamento_id,departamento_nombre,origen_financiamiento,tiene_terapia
223,50301052142166,30,ENTRE RÍOS,105,VICTORIA,estatal,False
224,50301052242217,30,ENTRE RÍOS,105,VICTORIA,estatal,False
225,50301052142498,30,ENTRE RÍOS,105,VICTORIA,estatal,False
226,50301132142227,30,ENTRE RÍOS,113,VILLAGUAY,estatal,False
227,50821192284537,82,SANTA FE,119,SAN LORENZO,estatal,False
228,51220212327354,22,CHACO,21,COMANDANTE FERNÁNDEZ,privado,False
229,50820492184767,82,SANTA FE,49,GENERAL OBLIGADO,estatal,False
230,50820492184775,82,SANTA FE,49,GENERAL OBLIGADO,estatal,False
231,50820492184909,82,SANTA FE,49,GENERAL OBLIGADO,estatal,False
232,50820492184530,82,SANTA FE,49,GENERAL OBLIGADO,estatal,False
233,50820492184651,82,SANTA FE,49,GENERAL OBLIGADO,estatal,False
234,50820492184763,82,SANTA FE,49,GENERAL OBLIGADO,estatal,False
235,50820492184576,82,SANTA FE,49,GENERAL OBLIGADO,estatal,False
236,50820492184976,82,SANTA FE,49,GENERAL OBLIGADO,estatal,False
237,50820492184584,82,SANTA FE,49,GENERAL OBLIGADO,estatal,False
238,50820492184671,82,SANTA FE,49,GENERAL OBLIGADO,estatal,False
239,50820492184498,82,SANTA FE,49,GENERAL OBLIGADO,estatal,False
240,50820492184885,82,SANTA FE,49,GENERAL OBLIGADO,estatal,False
241,50820492184895,82,SANTA FE,49,GENERAL OBLIGADO,estatal,False
242,50820492184703,82,SANTA FE,49,GENERAL OBLIGADO,estatal,False
243,50861262192167,86,SANTIAGO DEL ESTERO,126,OJO DE AGUA,estatal,False
244,10661332173028,66,SALTA,133,RIVADAVIA,estatal,False
245,10660562173062,66,SALTA,56,GRL. JOSÉ DE SAN MARTÍN,estatal,False
246,10661262173068,66,SALTA,126,ORÁN,estatal,True
247,10660842173069,66,SALTA,84,LA CANDELARIA,estatal,False
248,10660352173070,66,SALTA,35,CERRILLOS ,estatal,False
249,53661122373551,66,SALTA,112,METÁN,privado,False
250,53661262373570,66,SALTA,126,ORÁN,privado,False
251,50064412201333,6,BUENOS AIRES,441,LA PLATA,estatal,False
252,50064412201332,6,BUENOS AIRES,441,LA PLATA,estatal,False
253,50064412201329,6,BUENOS AIRES,441,LA PLATA,estatal,False
254,10101052124016,10,CATAMARCA,105,TINOGASTA,estatal,False
255,50101122124300,10,CATAMARCA,112,VALLE VIEJO,estatal,False
256,50740562380234,74,SAN LUIS,56,LA CAPITAL,privado,False
257,50700422177155,70,SAN JUAN,42,CHIMBAS,estatal,False
258,50700422177136,70,SAN JUAN,42,CHIMBAS,estatal,False
259,52740352380251,74,SAN LUIS,35,GENERAL PEDERNERA,privado,False
260,10740492180017,74,SAN LUIS,49,JUNÍN,estatal,False
261,50861752192217,86,SANTIAGO DEL ESTERO,175,SAN MARTÍN,estatal,False
262,50861682192223,86,SANTIAGO DEL ESTERO,168,SALAVINA,estatal,False
263,50861752192230,86,SANTIAGO DEL ESTERO,175,SAN MARTÍN,estatal,False
264,50861402192121,86,SANTIAGO DEL ESTERO,140,QUEBRACHOS,estatal,False
265,10660212173031,66,SALTA,21,CAFAYATE,estatal,False
266,50221402126475,22,CHACO,140,SAN FERNANDO,estatal,False
267,53660562373545,66,SALTA,56,GRL. JOSÉ DE SAN MARTÍN,privado,False
268,50221402126450,22,CHACO,140,SAN FERNANDO,estatal,False
269,50221402126272,22,CHACO,140,SAN FERNANDO,estatal,False
270,50221402126349,22,CHACO,140,SAN FERNANDO,estatal,False
271,50740562380225,74,SAN LUIS,56,LA CAPITAL,privado,False
272,50740562380226,74,SAN LUIS,56,LA CAPITAL,privado,False
273,52740562380254,74,SAN LUIS,56,LA CAPITAL,privado,False
274,51740562380244,74,SAN LUIS,56,LA CAPITAL,privado,False
275,10740562180022,74,SAN LUIS,56,LA CAPITAL,estatal,True
276,52100492124336,10,CATAMARCA,49,CAPITAL,estatal,False
277,50101122124070,10,CATAMARCA,112,VALLE VIEJO,estatal,False
278,53100492324342,10,CATAMARCA,49,CAPITAL,privado,False
279,53100492324341,10,CATAMARCA,49,CAPITAL,privado,False
280,50820632385297,82,SANTA FE,63,LA CAPITAL,privado,False
281,10181262139004,18,CORRIENTES,126,SALADAS,estatal,False
282,10181332139031,18,CORRIENTES,133,SAN COSME,estatal,False
283,10181332139024,18,CORRIENTES,133,SAN COSME,estatal,False
284,13181402139081,18,CORRIENTES,140,SAN LUIS DEL PALMAR,estatal,False
285,10181402139053,18,CORRIENTES,140,SAN LUIS DEL PALMAR,estatal,False
286,50820632385294,82,SANTA FE,63,LA CAPITAL,privado,False
287,53340142347213,34,FORMOSA,14,FORMOSA,privado,False
288,51780142383115,78,SANTA CRUZ,14,DESEADO,privado,False
289,10780142183004,78,SANTA CRUZ,14,DESEADO,estatal,False
290,10660562173067,66,SALTA,56,GRL. JOSÉ DE SAN MARTÍN,estatal,False
291,50701192177082,70,SAN JUAN,119,VALLE FÉRTIL,estatal,False
292,50700282177109,70,SAN JUAN,28,CAPITAL,estatal,False
293,50700772177111,70,SAN JUAN,77,RAWSON,estatal,False
294,53660562373577,66,SALTA,56,GRL. JOSÉ DE SAN MARTÍN,privado,False
295,10500842157025,50,MENDOZA,84,RIVADAVIA,estatal,True
296,50740562380185,74,SAN LUIS,56,LA CAPITAL,privado,False
297,51820632385404,82,SANTA FE,63,LA CAPITAL,privado,False
298,50220772126309,22,CHACO,77,LIBERTAD,estatal,False
299,50221052126249,22,CHACO,105,9 DE JULIO,estatal,False
300,10661052173045,66,SALTA,105,LOS ANDES,estatal,False
301,50700072277248,70,SAN JUAN,7,ALBARDÓN,estatal,False
302,50700492177094,70,SAN JUAN,49,IGLESIA,estatal,False
303,50700562177191,70,SAN JUAN,56,JÁCHAL,estatal,False
304,50700212177205,70,SAN JUAN,21,CALINGASTA,estatal,False
305,50700562177163,70,SAN JUAN,56,JÁCHAL,estatal,False
306,50700562177128,70,SAN JUAN,56,JÁCHAL,estatal,False
307,50700562177183,70,SAN JUAN,56,JÁCHAL,estatal,False
308,50700912177123,70,SAN JUAN,91,SAN MARTÍN,estatal,False
309,50700702277252,70,SAN JUAN,70,POCITO,estatal,False
310,52660072374381,66,SALTA,7,ANTA,privado,False
311,50700282177076,70,SAN JUAN,28,CAPITAL,estatal,False
312,50700072177146,70,SAN JUAN,7,ALBARDÓN,estatal,False
313,50700842177083,70,SAN JUAN,84,RIVADAVIA,estatal,False
314,50700842177113,70,SAN JUAN,84,RIVADAVIA,estatal,False
315,50820492184784,82,SANTA FE,49,GENERAL OBLIGADO,estatal,False
316,50820492184519,82,SANTA FE,49,GENERAL OBLIGADO,estatal,False
317,50820492184526,82,SANTA FE,49,GENERAL OBLIGADO,estatal,False
318,50820492184516,82,SANTA FE,49,GENERAL OBLIGADO,estatal,False
319,50820492184527,82,SANTA FE,49,GENERAL OBLIGADO,estatal,False
320,50820492184601,82,SANTA FE,49,GENERAL OBLIGADO,estatal,False
321,50820492184511,82,SANTA FE,49,GENERAL OBLIGADO,estatal,False
322,50820492184963,82,SANTA FE,49,GENERAL OBLIGADO,estatal,False
323,50820492184889,82,SANTA FE,49,GENERAL OBLIGADO,estatal,False
324,50820492185028,82,SANTA FE,49,GENERAL OBLIGADO,estatal,False
325,50820492185034,82,SANTA FE,49,GENERAL OBLIGADO,estatal,False
326,51140142331586,14,CÓRDOBA,14,CAPITAL,privado,False
327,50066382307263,6,BUENOS AIRES,638,PILAR,privado,False
328,50660282173152,66,SALTA,28,CAPITAL,estatal,False
329,50660282173145,66,SALTA,28,CAPITAL,estatal,False
330,50661472173119,66,SALTA,147,ROSARIO DE LERMA,estatal,False
331,50661542173357,66,SALTA,154,SAN CARLOS,estatal,False
332,50660282173091,66,SALTA,28,CAPITAL,estatal,False
333,50660562173362,66,SALTA,56,GRL. JOSÉ DE SAN MARTÍN,estatal,False
334,50660562173261,66,SALTA,56,GRL. JOSÉ DE SAN MARTÍN,estatal,False
335,50660562173406,66,SALTA,56,GRL. JOSÉ DE SAN MARTÍN,estatal,False
336,50661122173412,66,SALTA,112,METÁN,estatal,False
337,50661332173134,66,SALTA,133,RIVADAVIA,estatal,False
338,50421052353254,42,LA PAMPA,105,MARACÓ,privado,False
339,14060582305243,6,BUENOS AIRES,658,QUILMES,privado,False
340,50380142150056,38,JUJUY,14,EL CARMEN,estatal,False
341,53660282373571,66,SALTA,28,CAPITAL,privado,False
342,10660282373076,66,SALTA,28,CAPITAL,privado,True
343,10660282373077,66,SALTA,28,CAPITAL,privado,True
344,10660282373079,66,SALTA,28,CAPITAL,privado,True
345,53660282373573,66,SALTA,28,CAPITAL,privado,False
346,10780142183017,78,SANTA CRUZ,14,DESEADO,estatal,True
347,50821122384441,82,SANTA FE,112,SAN JUSTO,privado,False
348,10780142183022,78,SANTA CRUZ,14,DESEADO,estatal,False
349,10780142183009,78,SANTA CRUZ,14,DESEADO,estatal,False
350,50260352129118,26,CHUBUT,35,FUTALEUFÚ,estatal,False
351,15064342305247,6,BUENOS AIRES,434,LANÚS,privado,False
352,50860702192414,86,SANTIAGO DEL ESTERO,70,FIGUEROA,estatal,False
353,50860212192245,86,SANTIAGO DEL ESTERO,21,ATAMISQUI,estatal,False
354,50861612192306,86,SANTIAGO DEL ESTERO,161,ROBLES,estatal,False
